Royalty ID,Asset ISRC,Asset Title,Asset Version,Asset Artist,Asset Duration,Sale net receipts calculation,Sale net receipts,Contract deal term,Contract Reference,Reported Royalty,Asset/Product,Territory,Quantity,Sale Type,Sale User Type,Sale Start date,Sale End date,Sale Store Name,DSP,Royalty Calculation Base,Product Reference,Asset Reference,Product Share,Asset Share,Exchange Rate,Currency,Product Title,Product Artist,Product UPC,Product Catalog Number,Product Label,Report Run ID,Report ID,Sale ID,Statement Run ID,Statement Run Name
24470254141,DEXM82106044,Hamteami,,Sina Sae,233,£0.007014 × 100% of sale × 100% of asset × 1.187 €/£ = €,0.008325618,80%,VageMedia,0.0066604944,Asset,GB,2,Streaming,Student,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.187,GBP,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675143753,4822,September Statement 
24470256868,DEXM82106044,Hamteami,,Sina Sae,233,€0.003178 × 100% of sale × 100% of asset × 1 €/€ = €,0.003178,80%,VageMedia,0.0025424,Asset,GR,2,Streaming,Ad-supported,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675144989,4822,September Statement 
24470267808,DEXM82106044,Hamteami,,Sina Sae,233,€0.007136 × 100% of sale × 100% of asset × 1 €/€ = €,0.007136,80%,VageMedia,0.0057088,Asset,IE,2,Streaming,Family plan,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675149330,4822,September Statement 
24470260858,DEXM82106044,Hamteami,,Sina Sae,233,€0.003276657 × 100% of sale × 100% of asset × 1 €/€ = €,0.003276657,80%,VageMedia,0.0026213256,Asset,IE,1,Streaming,Other,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675149342,4822,September Statement 
24470275649,DEXM82106044,Hamteami,,Sina Sae,233,€0.001698105 × 100% of sale × 100% of asset × 1 €/€ = €,0.001698105,80%,VageMedia,0.001358484,Asset,IN,2,Streaming,Ad-supported,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675152916,4822,September Statement 
24470267365,DEXM82106044,Hamteami,,Sina Sae,233,€0.000803179 × 100% of sale × 100% of asset × 1 €/€ = €,0.000803179,80%,VageMedia,0.0006425432,Asset,IN,2,Streaming,Family plan,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675152927,4822,September Statement 
24470270589,DEXM82106044,Hamteami,,Sina Sae,233,€0.000187787 × 100% of sale × 100% of asset × 1 €/€ = €,0.000187787,80%,VageMedia,0.0001502296,Asset,IQ,1,Streaming,Ad-supported,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675154374,4822,September Statement 
24470280821,DEXM82106044,Hamteami,,Sina Sae,233,€0.008 × 100% of sale × 100% of asset × 1 €/€ = €,0.008,80%,VageMedia,0.0064,Asset,IT,5,Streaming,Ad-supported,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675159496,4822,September Statement 
24470278813,DEXM82106044,Hamteami,,Sina Sae,233,€0.0016 × 100% of sale × 100% of asset × 1 €/€ = €,0.0016,80%,VageMedia,0.00128,Asset,IT,1,Streaming,Premium,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675159522,4822,September Statement 
24470285068,DEXM82106044,Hamteami,,Sina Sae,233,€0.002117685 × 100% of sale × 100% of asset × 1 €/€ = €,0.002117685,80%,VageMedia,0.001694148,Asset,JP,1,Streaming,Ad-supported,2022-06-01,2022-06-30,Spotify,Spotify,royalty,5020034368,5020034359,1,1,1.0,EUR,Hamteami,Sina Sae,8720693754685,F07990,Vage Media,8245,301242,8675162703,4822,September Statement 
